title,director mean, director linear, director quad,writer mean, writer linear, writer quad,actor mean, actor linear, actor quad,rating, action adventure, drama, scifi fantasy, animation,comedy, kids family, art international, mystery suspense,romance, documentary, horror
Kids,45.42857142857143,45.42857142857143,45.42857142857143,45.18888888888889,48.31666666666666,46.97727272727272,48.00614718866213,48.06067671289739,48.05208221008658,4,0,1,0,0,0,0,0,0,0,0,0,47
Killing for Love,100.0,100.0,100.0,100.0,100.0,100.0,92.56812169312168,86.93253968253968,89.5471709141922,5,0,0,0,0,0,0,1,0,0,1,0,100
Ghost in the Shell,83.6,83.6,83.6,0,0,0,76.08247354497354,77.43592796092796,78.18853752630349,3,0,0,1,1,0,0,1,0,0,0,0,96
Last Summer in the Hamptons,39.775,39.775,39.775,47.33571428571429,49.857142857142854,48.416326530612245,56.01896191079638,54.19446364191695,54.466433805858806,3,0,1,0,0,1,0,1,0,0,0,0,64
Last of the Dogmen,69.0,69.0,69.0,65.33333333333333,65.33333333333333,65.33333333333333,57.14711264733658,55.597517433729344,56.34053250276072,1,1,1,0,0,0,0,0,1,0,0,0,69
Leaving Las Vegas,42.26373626373626,42.26373626373626,42.26373626373626,42.644444444444446,42.644444444444446,42.644444444444446,56.99982053299766,56.39605172173328,56.84232809433769,3,0,1,0,0,0,0,0,0,1,0,0,90
Life Itself,97.0,97.0,97.0,0,0,0,91.59984527519862,92.40553929663162,92.2999643876074,3,0,0,0,0,0,0,0,0,0,1,0,97
Live Nude Girls,38.0,38.0,38.0,38.0,38.0,38.0,41.86438017702208,42.41955015534479,42.57003063915624,3,0,0,0,0,1,0,0,0,0,0,0,38
Living in Oblivion,62.333333333333336,62.333333333333336,62.333333333333336,58.0,58.0,58.0,72.16746705224969,66.02381867748134,67.84125673748412,3,0,1,0,0,1,0,0,0,0,0,0,88
Lord of Illusions,54.833333333333336,54.833333333333336,54.833333333333336,39.666666666666664,39.666666666666664,39.666666666666664,56.75846388489162,55.37229399383279,55.71533635291533,3,0,0,0,0,0,0,0,0,0,0,1,61
Losing Isaiah,47.476190476190474,47.476190476190474,47.476190476190474,43.82142857142857,43.82142857142857,43.82142857142857,48.33096866848463,49.711339029391304,49.448221874969136,3,0,1,0,0,0,0,0,1,0,0,0,45
Lumière and Company,79.72732365673542,75.68260758848993,76.87990028547304,0,0,0,78.64143116976582,75.48598912990143,76.2891000294331,5,0,0,0,0,0,0,1,0,0,1,0,100
Maborosi,91.33333333333333,91.33333333333333,91.33333333333333,100.0,100.0,100.0,91.41867115340798,89.02390795503577,89.80094300293787,5,0,1,0,0,0,0,1,1,0,0,0,100
Magic in the Water,71.0,71.0,71.0,46.0,54.333333333333336,49.57142857142857,32.567570682333,32.80085392409117,32.831937802302335,1,1,0,1,0,0,1,0,0,0,0,0,21
Mallrats,47.10476190476191,47.10476190476191,47.10476190476191,50.26923076923077,50.26923076923077,50.26923076923077,51.08041752249192,49.619798894336824,50.42952878516119,3,0,0,0,0,1,0,0,0,0,0,0,55
Man of the House,42.3235294117647,42.3235294117647,42.3235294117647,45.4031746031746,47.14761904761905,46.17619047619047,41.11864810963661,42.255605657502436,41.73341551374155,2,1,0,0,0,1,0,0,0,0,0,0,9
Man of the Year,54.566153846153846,54.566153846153846,54.566153846153846,57.15833333333333,57.15833333333333,57.15833333333333,40.92695064107328,46.2904543471172,45.108502826836784,1,0,0,0,0,1,0,0,0,0,0,0,21
Miami Rhapsody,49.964285714285715,49.964285714285715,49.964285714285715,30.0,30.0,30.0,44.2849826491159,46.24337406945429,45.728115402939224,2,0,1,0,0,1,0,0,0,1,0,0,45
Mighty Aphrodite,65.05714285714286,65.05714285714286,65.05714285714286,64.91836734693878,64.91836734693878,64.91836734693878,60.642362817555544,60.779467575353486,61.087753584954775,3,0,0,0,0,1,0,0,0,1,0,0,77
Whisper of the Heart,91.0,91.0,91.0,0,0,0,49.86406193981294,45.85486475839755,47.268108777536305,1,0,1,0,1,0,0,1,0,0,0,0,91
Mirage,82.0,82.0,82.0,82.0,82.0,82.0,75.36666666666666,73.74518518518518,74.19390476190476,5,0,1,0,0,0,0,1,0,0,0,0,82
Money Train,36.30909090909091,36.30909090909091,36.30909090909091,36.62222222222222,36.82962962962963,36.71111111111111,46.24591214189065,48.65172442629515,48.11406327868342,3,1,1,0,0,1,0,0,1,0,0,0,22
Moonlight and Valentino,36.0,36.0,36.0,36.333333333333336,36.333333333333336,36.333333333333336,33.90773493232229,37.94674149992401,36.39676100615322,3,0,1,0,0,1,0,0,0,0,0,0,15
Mortal Kombat,29.435897435897434,29.435897435897434,29.435897435897434,18.0,18.0,18.0,36.643542108052614,37.228488347280354,37.64489980694614,2,1,0,1,0,0,0,0,0,0,0,0,34
Murder in the First,51.66666666666667,51.111111111111114,51.42857142857143,41.638888888888886,41.638888888888886,41.638888888888886,50.06910894097471,49.563815904169275,49.6558237062505,3,0,1,0,0,0,0,0,1,0,0,0,50
My Family,71.66666666666667,71.66666666666667,71.66666666666667,77.81666666666666,78.65555555555555,78.17619047619048,65.15112988813527,63.37404942355559,64.3315113798948,3,0,1,0,0,0,0,0,0,0,0,0,85
Never Talk to Strangers,15.0,15.0,15.0,15.0,15.0,15.0,37.156692191855136,42.52386346779796,41.24137525253652,3,0,1,0,0,0,0,0,1,0,0,0,15
New Jersey Drive,55.63333333333333,52.84444444444444,54.43809523809524,63.5,63.333333333333336,63.42857142857143,57.04897355398098,56.05929431890039,56.43443766254988,3,1,1,0,0,0,0,0,0,0,0,0,64
Nick of Time,53.461988304093566,53.461988304093566,53.461988304093566,54.285714285714285,54.285714285714285,54.285714285714285,42.82615039485248,44.02036336409479,43.63819849866825,3,1,1,0,0,0,0,0,1,0,0,0,31
Nico Icon,88.0,88.0,88.0,88.0,88.0,88.0,77.42014906146485,77.89631010138187,77.57247792325454,5,0,0,0,0,0,0,0,0,0,1,0,88
Nine Months,44.99166666666667,44.99166666666667,44.99166666666667,37.36813186813187,41.15750915750916,38.99215070643642,37.91234548051343,40.3161515962272,39.0191248959219,2,0,0,0,0,1,0,0,0,0,0,0,26
Nixon,57.39393939393939,57.39393939393939,57.39393939393939,56.59753434970827,56.43686241294938,56.365851342333556,56.61943438248437,56.15462961595888,56.4551026581271,3,0,1,0,0,0,0,0,0,0,1,0,75
Ten Benny,41.5,41.5,41.5,55.0,58.666666666666664,56.57142857142857,45.578782718256406,44.42666114587168,44.642938905538884,3,0,1,0,0,0,0,0,0,0,0,0,44
